study_id,source_figure,source_panel,extraction_method,extracted_by,extraction_date,x_name,x_value,x_units,visibility_obs,visibility_se,visibility_type,marker_visibility,t_meas,Lambda,Gamma,Theta,path_separation,detector_spatial_resolution,coherence_time,detector_response_time,record_entropy_bits,record_survival_probability,environment_coupling,record_accessibility,conditioned_on,notes
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.0,dimensionless,1.0,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.2,dimensionless,0.799923,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.4,dimensionless,0.220046,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.5,dimensionless,0.039939,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.6,dimensionless,0.180108,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.8,dimensionless,0.269969,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.0,dimensionless,0.059908,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.2,dimensionless,0.160138,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.4,dimensionless,0.140169,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.6,dimensionless,0.049923,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,1.8,dimensionless,0.119816,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.2,relative_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,2.0,dimensionless,0.069892,0.035,raw,,,,,,,,,,,,,,,Calibrated manual pixel picks from Fig. 2 contrast panel.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.0,dimensionless,1.0,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.2,dimensionless,0.679941,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
CHAPMAN_1995_SCATTER,Fig.3,conditioned_contrast,calibrated_pixel_digitization_v1,Codex,2026-04-24,d_over_lambda,0.4,dimensionless,0.429868,0.045,conditioned,,,,,,,,,,,,,,case_III_backward,Calibrated manual pixel picks from Fig. 3 case III branch.
