study_id,source_title,source_url,doi,source_file,source_file_sha256,source_figure,source_panel,setup,theta_pi,purity,observable,alpha_deg,value,extraction_method,extracted_by,extraction_date,point_id,pixel_x,pixel_y,pixel_count,component_width,component_height,notes
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-87.858688594044,0.05158717818700144,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_1,269.33019551049966,1151.1390296886314,1381,59.0,39.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-85.94995106781691,0.10662906301195227,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_2,302.60585305105855,1088.3362391033625,1606,63.0,42.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-83.95427305096312,0.16661660003158846,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_3,337.3971731448763,1019.8904593639576,1415,62.0,42.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-81.98988848725071,0.22642184364677762,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_4,371.64294403892944,951.6526763990267,1644,64.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-79.93801815880123,0.2837439096554166,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_5,407.4138834315652,886.2481990831697,1527,65.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-77.93591457359034,0.3430857648784789,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_6,442.31722260040846,818.5391422736556,1469,61.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-75.94353493496604,0.39948874274625074,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_7,477.05104096709204,754.1833445265279,1489,63.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-73.96123930275297,0.4510612107133639,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_8,511.60906148867315,695.3391585760518,1545,64.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-71.9645552461212,0.503751313346582,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_9,546.4179202092871,635.21975147155,1529,62.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-70.02872854930996,0.5512768480319945,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_10,580.1658322903629,580.9931163954943,1598,63.0,43.0,connected colored marker component
