study_id,figure,panel,branch,marker,point_index,d_over_lambda,visibility,visibility_se,pixel_x,pixel_y,nbar_independent,nbar_se,sigma_n_independent,sigma_n_se,kappa_prime_calculated_k0,kappa_prime_calculated_se_k0,kappa_prime_fit_reported_k0,kappa_prime_fit_reported_se_k0,source_file,extraction_method
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,0,0.0,1.0,0.025,80.5,18.0,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,1,0.03340807174887892,0.8836032388663968,0.025,117.75,46.75,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,2,0.04641255605381166,0.8658704453441296,0.025,132.25,51.13,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,3,0.06726457399103139,0.7591093117408907,0.025,155.5,77.5,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,4,0.08744394618834081,0.6589068825910931,0.025,178.0,102.25,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,5,0.10706726457399103,0.4888663967611336,0.025,199.88,144.25,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,6,0.12668161434977576,0.3522267206477733,0.025,221.75,178.0,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,7,0.14652914798206276,0.2651821862348178,0.025,243.88,199.5,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,8,0.1670403587443946,0.16040485829959517,0.025,266.75,225.38,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,9,0.18856502242152465,0.10979757085020245,0.025,290.75,237.88,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,10,0.21143497757847532,0.0622267206477733,0.025,316.25,249.63,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,11,0.23609865470852018,0.05566801619433198,0.025,343.75,251.25,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,bullet_lower_intensity,filled_circle,12,0.2628878923766816,0.058704453441295545,0.025,373.62,250.5,4.8,0.2,1.8,0.1,1.8,0.1,1.71,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,0,0.0,1.0,0.025,80.5,18.0,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,1,0.03744394618834081,0.8334817813765182,0.025,122.25,59.13,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,2,0.05044843049327354,0.7322672064777328,0.025,136.75,84.13,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,3,0.07130044843049327,0.5581781376518219,0.025,160.0,127.13,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,4,0.09137219730941702,0.4018218623481781,0.025,182.38,165.75,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,5,0.11110313901345291,0.2565587044534413,0.025,204.38,201.63,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,6,0.13071748878923767,0.14522267206477735,0.025,226.25,229.13,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,7,0.15056502242152467,0.0728744939271255,0.025,248.38,247.0,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 4,many_photon_path_separation,circle_high_intensity,open_circle,8,0.1710762331838565,0.025303643724696356,0.025,271.25,258.75,8.1,0.3,3.5,0.1,2.5,0.1,2.39,0.05,outputs/tmp/kokorowski_source/extracted/figure4.eps,eps_vector_point_extraction_v1
