study_id,panel,source_file,source_sha256,point_index,ps_x,ps_y,intensity_arb_units,marker_width_ps,marker_height_ps,source_url,doi,extraction_method
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,0,435.84,254.7,5.675597509260134,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,1,441.84,257.88,4.630239421847291,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,2,440.88,261.0,4.797496715833343,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,3,444.84,264.18,4.107560378140869,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,4,441.84,267.24,4.630239421847291,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,5,442.5,270.42,4.515250032231874,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,6,431.94,273.54,6.3550802660784775,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,7,428.1,276.72,7.024109442022694,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,8,409.92,279.78,10.19154444688361,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,9,395.88,282.96,12.637682371429667,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
