study_id,source_title,source_url,doi,source_file,source_file_sha256,source_figure,source_panel,observable,branch,extraction_method,extracted_by,extraction_date,point_id,x_name,x_value,x_units,y_name,y_value,y_units,z_m,p_hbar_over_d,mean_abs_momentum_hbar_over_d,probability_density,pixel_x,pixel_y,pixel_count,notes
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_1,z_m,1.382036,m,mean_absolute_bohmian_momentum_disturbance,0.112349,hbar_over_d,1.3820359281437125,,0.11234909456740443,,169.0,490.5,4,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_2,z_m,1.450299,m,mean_absolute_bohmian_momentum_disturbance,0.113028,hbar_over_d,1.4502994011976047,,0.11302816901408451,,175.0,490.0,96,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_3,z_m,1.541317,m,mean_absolute_bohmian_momentum_disturbance,0.123893,hbar_over_d,1.5413173652694612,,0.12389336016096579,,183.0,482.0,103,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_4,z_m,1.620958,m,mean_absolute_bohmian_momentum_disturbance,0.141549,hbar_over_d,1.6209580838323354,,0.1415492957746479,,190.0,469.0,124,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_5,z_m,1.717665,m,mean_absolute_bohmian_momentum_disturbance,0.180936,hbar_over_d,1.7176646706586824,,0.18093561368209254,,198.5,440.0,130,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_6,z_m,1.825749,m,mean_absolute_bohmian_momentum_disturbance,0.186368,hbar_over_d,1.8257485029940121,,0.1863682092555332,,208.0,436.0,131,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_7,z_m,1.905389,m,mean_absolute_bohmian_momentum_disturbance,0.20674,hbar_over_d,1.9053892215568862,,0.2067404426559356,,215.0,421.0,137,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_8,z_m,2.007784,m,mean_absolute_bohmian_momentum_disturbance,0.256992,hbar_over_d,2.0077844311377246,,0.25699195171026157,,224.0,384.0,119,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_9,z_m,2.098802,m,mean_absolute_bohmian_momentum_disturbance,0.270573,hbar_over_d,2.0988023952095807,,0.2705734406438632,,232.0,374.0,111,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_10,z_m,2.201198,m,mean_absolute_bohmian_momentum_disturbance,0.299774,hbar_over_d,2.201197604790419,,0.29977364185110666,,241.0,352.5,132,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
