distribution,branch,model,q,density,acceptance,effective_density,weight_zero_photon,weight_one_photon,weight_two_photon,velocity_sigma
raw_one_photon_density,raw,complex_mixture_with_smear,0.0,0.0008479961116496438,1.0,0.0008479961116496438,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0025,0.029977443287631206,1.0,0.029977443287631206,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.005,0.042389197926147495,1.0,0.042389197926147495,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0075,0.0519094433323855,1.0,0.0519094433323855,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.01,0.05993233722784585,1.0,0.05993233722784585,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0125,0.06699796739510938,1.0,0.06699796739510938,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.015,0.07338335909580129,1.0,0.07338335909580129,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0175,0.07925309856087587,1.0,0.07925309856087587,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.02,0.08471443599254815,1.0,0.08471443599254815,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0225,0.08984187667627047,1.0,0.08984187667627047,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.025,0.0946896739743302,1.0,0.0946896739743302,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0275,0.09929878966892139,1.0,0.09929878966892139,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.03,0.1037010507462136,1.0,0.1037010507462136,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0325,0.10792177049984678,1.0,0.10792177049984678,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.035,0.11198147523330461,1.0,0.11198147523330461,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0375,0.11589708351118996,1.0,0.11589708351118996,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.04,0.11968273625006187,1.0,0.11968273625006187,0.06,0.8999999999999999,0.04,0.5
