x_value,raw_visibility_first_pass,best_conditioned_visibility_first_pass,recovery_fraction_first_pass,raw_visibility_digitized,best_conditioned_visibility_digitized,recovery_fraction_digitized,raw_delta,best_conditioned_delta,recovery_fraction_delta
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.2,0.8,0.88,0.3999999999999999,0.799923,0.900146,0.5009221449741849,-7.699999999999374e-05,0.020145999999999997,0.10092214497418495
0.4,0.22,0.7,0.6153846153846153,0.220046,0.759883,0.6921395364341999,4.599999999999049e-05,0.05988300000000002,0.07675492104958459
0.5,0.04,0.64,0.625,0.039939,0.660029,0.6458860426577061,-6.0999999999998555e-05,0.020028999999999963,0.020886042657706105
0.6,0.18,0.55,0.45121951219512196,0.180108,0.580088,0.4878447405268011,0.00010799999999999699,0.030088000000000004,0.03662522833167914
0.8,0.27,0.36,0.12328767123287668,0.269969,0.380088,0.1508415396058523,-3.100000000000325e-05,0.020087999999999995,0.027553868372975632
1.0,0.06,0.23,0.18085106382978725,0.059908,0.240117,0.1916929406909111,-9.199999999999486e-05,0.010116999999999987,0.010841876861123867
1.2,0.16,0.22,0.07142857142857142,0.160138,0.219912,0.07117121622361769,0.00013799999999999923,-8.800000000000474e-05,-0.0002573552049537353
1.4,0.14,0.22,0.09302325581395347,0.140169,0.219912,0.09274264361252386,0.00016899999999997473,-8.800000000000474e-05,-0.00028061220142960863
1.6,0.05,0.21,0.16842105263157892,0.049923,0.209956,0.16844213679522818,-7.700000000000068e-05,-4.399999999998849e-05,2.1084163649265353e-05
1.8,0.12,0.2,0.09090909090909093,0.119816,0.2,0.09109913381747453,-0.00018399999999998973,0.0,0.00019004290838360582
2.0,0.07,0.19,0.12903225806451613,0.069892,0.190044,0.12918069729536782,-0.00010800000000001087,4.399999999998849e-05,0.00014843923085169908
