analysis_scope,distribution,branch,q,density,acceptance,effective_density
all_phase_points,raw_beta_recoil_complex,raw,0.0,0.0011620443517785064,1.0,0.0011620443517785064
all_phase_points,raw_beta_recoil_complex,raw,0.0025,0.04106393854017794,1.0,0.04106393854017794
all_phase_points,raw_beta_recoil_complex,raw,0.005,0.058044094954121356,1.0,0.058044094954121356
all_phase_points,raw_beta_recoil_complex,raw,0.0075,0.07105356051651791,1.0,0.07105356051651791
all_phase_points,raw_beta_recoil_complex,raw,0.01,0.08200439186541293,1.0,0.08200439186541293
all_phase_points,raw_beta_recoil_complex,raw,0.0125,0.09163760774704058,1.0,0.09163760774704058
all_phase_points,raw_beta_recoil_complex,raw,0.015,0.10033344302769864,1.0,0.10033344302769864
all_phase_points,raw_beta_recoil_complex,raw,0.0175,0.108317888244654,1.0,0.108317888244654
all_phase_points,raw_beta_recoil_complex,raw,0.02,0.11573826179346007,1.0,0.11573826179346007
all_phase_points,raw_beta_recoil_complex,raw,0.0225,0.12269694165778275,1.0,0.12269694165778275
all_phase_points,raw_beta_recoil_complex,raw,0.025,0.1292685049561355,1.0,0.1292685049561355
all_phase_points,raw_beta_recoil_complex,raw,0.0275,0.13550927863740683,1.0,0.13550927863740683
all_phase_points,raw_beta_recoil_complex,raw,0.03,0.14146304418064684,1.0,0.14146304418064684
all_phase_points,raw_beta_recoil_complex,raw,0.0325,0.14716463533748372,1.0,0.14716463533748372
all_phase_points,raw_beta_recoil_complex,raw,0.035,0.1526423085976229,1.0,0.1526423085976229
all_phase_points,raw_beta_recoil_complex,raw,0.0375,0.15791936235909754,1.0,0.15791936235909754
all_phase_points,raw_beta_recoil_complex,raw,0.04,0.16301527686719675,1.0,0.16301527686719675
all_phase_points,raw_beta_recoil_complex,raw,0.0425,0.16794653768475665,1.0,0.16794653768475665
all_phase_points,raw_beta_recoil_complex,raw,0.045,0.17272724389506083,1.0,0.17272724389506083
all_phase_points,raw_beta_recoil_complex,raw,0.0475,0.17736956607692386,1.0,0.17736956607692386
all_phase_points,raw_beta_recoil_complex,raw,0.05,0.18188409706779515,1.0,0.18188409706779515
all_phase_points,raw_beta_recoil_complex,raw,0.0525,0.1862801246888776,1.0,0.1862801246888776
all_phase_points,raw_beta_recoil_complex,raw,0.055,0.1905658466629813,1.0,0.1905658466629813
all_phase_points,raw_beta_recoil_complex,raw,0.0575,0.19474854203439065,1.0,0.19474854203439065
all_phase_points,raw_beta_recoil_complex,raw,0.06,0.19883470939281184,1.0,0.19883470939281184
all_phase_points,raw_beta_recoil_complex,raw,0.0625,0.2028301794379696,1.0,0.2028301794379696
all_phase_points,raw_beta_recoil_complex,raw,0.065,0.20674020747876584,1.0,0.20674020747876584
all_phase_points,raw_beta_recoil_complex,raw,0.0675,0.21056955007415132,1.0,0.21056955007415132
all_phase_points,raw_beta_recoil_complex,raw,0.07,0.21432252901830454,1.0,0.21432252901830454
all_phase_points,raw_beta_recoil_complex,raw,0.0725,0.2180030851351775,1.0,0.2180030851351775
all_phase_points,raw_beta_recoil_complex,raw,0.075,0.22161482379925718,1.0,0.22161482379925718
all_phase_points,raw_beta_recoil_complex,raw,0.0775,0.22516105368723305,1.0,0.22516105368723305
all_phase_points,raw_beta_recoil_complex,raw,0.08,0.2286448199521083,1.0,0.2286448199521083
all_phase_points,raw_beta_recoil_complex,raw,0.0825,0.23206893277102508,1.0,0.23206893277102508
all_phase_points,raw_beta_recoil_complex,raw,0.085,0.23543599203203644,1.0,0.23543599203203644
all_phase_points,raw_beta_recoil_complex,raw,0.08750000000000001,0.2387484087797879,1.0,0.2387484087797879
all_phase_points,raw_beta_recoil_complex,raw,0.09,0.24200842392572305,1.0,0.24200842392572305
all_phase_points,raw_beta_recoil_complex,raw,0.0925,0.2452181246377511,1.0,0.2452181246377511
all_phase_points,raw_beta_recoil_complex,raw,0.095,0.24837945875190007,1.0,0.24837945875190007
all_phase_points,raw_beta_recoil_complex,raw,0.0975,0.25149424749027155,1.0,0.25149424749027155
all_phase_points,raw_beta_recoil_complex,raw,0.1,0.25456419672252717,1.0,0.25456419672252717
all_phase_points,raw_beta_recoil_complex,raw,0.10250000000000001,0.25759090696983117,1.0,0.25759090696983117
all_phase_points,raw_beta_recoil_complex,raw,0.105,0.2605758823188291,1.0,0.2605758823188291
all_phase_points,raw_beta_recoil_complex,raw,0.1075,0.263520538387468,1.0,0.263520538387468
all_phase_points,raw_beta_recoil_complex,raw,0.11,0.2664262094631529,1.0,0.2664262094631529
all_phase_points,raw_beta_recoil_complex,raw,0.1125,0.269294154916043,1.0,0.269294154916043
all_phase_points,raw_beta_recoil_complex,raw,0.115,0.272125564975525,1.0,0.272125564975525
all_phase_points,raw_beta_recoil_complex,raw,0.11750000000000001,0.2749215659455333,1.0,0.2749215659455333
all_phase_points,raw_beta_recoil_complex,raw,0.12,0.2776832249239823,1.0,0.2776832249239823
all_phase_points,raw_beta_recoil_complex,raw,0.1225,0.28041155408278684,1.0,0.28041155408278684
all_phase_points,raw_beta_recoil_complex,raw,0.125,0.28310751455749483,1.0,0.28310751455749483
all_phase_points,raw_beta_recoil_complex,raw,0.1275,0.2857720199892215,1.0,0.2857720199892215
all_phase_points,raw_beta_recoil_complex,raw,0.13,0.2884059397561599,1.0,0.2884059397561599
all_phase_points,raw_beta_recoil_complex,raw,0.1325,0.29101010192731025,1.0,0.29101010192731025
all_phase_points,raw_beta_recoil_complex,raw,0.135,0.29358529596708655,1.0,0.29358529596708655
all_phase_points,raw_beta_recoil_complex,raw,0.1375,0.29613227521602964,1.0,0.29613227521602964
all_phase_points,raw_beta_recoil_complex,raw,0.14,0.2986517591698873,1.0,0.2986517591698873
all_phase_points,raw_beta_recoil_complex,raw,0.14250000000000002,0.30114443557675385,1.0,0.30114443557675385
all_phase_points,raw_beta_recoil_complex,raw,0.145,0.30361096236972523,1.0,0.30361096236972523
all_phase_points,raw_beta_recoil_complex,raw,0.1475,0.306051969450581,1.0,0.306051969450581
all_phase_points,raw_beta_recoil_complex,raw,0.15,0.30846806033830326,1.0,0.30846806033830326
