analysis_scope,distribution,branch,model,q,density,acceptance,effective_density,weight_zero_photon,weight_one_photon,weight_two_photon,velocity_sigma
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0,0.00023386940228343488,1.0,0.00023386940228343488,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0025,0.01686763833944678,1.0,0.01686763833944678,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.005,0.025562716969261563,1.0,0.025562716969261563,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0075,0.032598410065546764,1.0,0.032598410065546764,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.01,0.03873416784252659,1.0,0.03873416784252659,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0125,0.04427664701999855,1.0,0.04427664701999855,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.015,0.04938759495650455,1.0,0.04938759495650455,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0175,0.05416519034502576,1.0,0.05416519034502576,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.02,0.05867453833639429,1.0,0.05867453833639429,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0225,0.0629615412769472,1.0,0.0629615412769472,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.025,0.06706005698397767,1.0,0.06706005698397767,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0275,0.07099594080970499,1.0,0.07099594080970499,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.03,0.07478948813781726,1.0,0.07478948813781726,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0325,0.07845699072737115,1.0,0.07845699072737115,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.035,0.08201177170941726,1.0,0.08201177170941726,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0375,0.08546489854619217,1.0,0.08546489854619217,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.04,0.0888256888770494,1.0,0.0888256888770494,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0425,0.09210207855683834,1.0,0.09210207855683834,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.045,0.09530089529768325,1.0,0.09530089529768325,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0475,0.09842806600451032,1.0,0.09842806600451032,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.05,0.10148877650136132,1.0,0.10148877650136132,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0525,0.10448759640495547,1.0,0.10448759640495547,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.055,0.1074285780412298,1.0,0.1074285780412298,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0575,0.11031533573024765,1.0,0.11031533573024765,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.06,0.11315111001637412,1.0,0.11315111001637412,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0625,0.11593882020796716,1.0,0.11593882020796716,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.065,0.11868110773499521,1.0,0.11868110773499521,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0675,0.12138037221932102,1.0,0.12138037221932102,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.07,0.1240388017059535,1.0,0.1240388017059535,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0725,0.12665839817446214,1.0,0.12665839817446214,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.075,0.12924099920416365,1.0,0.12924099920416365,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0775,0.1317882964813579,1.0,0.1317882964813579,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.08,0.13430185169556952,1.0,0.13430185169556952,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0825,0.13678311026294337,1.0,0.13678311026294337,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.085,0.13923341323041033,1.0,0.13923341323041033,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.08750000000000001,0.14165400764801728,1.0,0.14165400764801728,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.09,0.14404605564452613,1.0,0.14404605564452613,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0925,0.14641064239979446,1.0,0.14641064239979446,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.095,0.14874878317413906,1.0,0.14874878317413906,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.0975,0.1510614295280307,1.0,0.1510614295280307,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1,0.153349474843684,1.0,0.153349474843684,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.10250000000000001,0.15561375924234136,1.0,0.15561375924234136,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.105,0.15785507397646859,1.0,0.15785507397646859,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1075,0.1600741653640657,1.0,0.1600741653640657,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.11,0.16227173832233446,1.0,0.16227173832233446,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1125,0.16444845954965467,1.0,0.16444845954965467,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.115,0.1666049603978875,1.0,0.1666049603978875,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.11750000000000001,0.16874183947120278,1.0,0.16874183947120278,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.12,0.17085966498271712,1.0,0.17085966498271712,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1225,0.1729589768960766,1.0,0.1729589768960766,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.125,0.17504028887558445,1.0,0.17504028887558445,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1275,0.1771040900654691,1.0,0.1771040900654691,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.13,0.17915084671630976,1.0,0.17915084671630976,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1325,0.18118100367442877,1.0,0.18118100367442877,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.135,0.1831949857481593,1.0,0.1831949857481593,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.1375,0.1851931989632519,1.0,0.1851931989632519,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.14,0.1871760317182642,1.0,0.1871760317182642,0.08,0.68,0.24,0.8
