distribution,branch,q,density,acceptance,effective_density
raw_beta_recoil,raw,0.0,0.2900123714005491,1.0,0.2900123714005491
raw_beta_recoil,raw,0.0025,0.3857529076008577,1.0,0.3857529076008577
raw_beta_recoil,raw,0.005,0.3966127986184274,1.0,0.3966127986184274
raw_beta_recoil,raw,0.0075,0.40311291479493283,1.0,0.40311291479493283
raw_beta_recoil,raw,0.01,0.40779380060769643,1.0,0.40779380060769643
raw_beta_recoil,raw,0.0125,0.4114654725062478,1.0,0.4114654725062478
raw_beta_recoil,raw,0.015,0.41449285303323646,1.0,0.41449285303323646
raw_beta_recoil,raw,0.0175,0.41707229097563137,1.0,0.41707229097563137
raw_beta_recoil,raw,0.02,0.41932181374858374,1.0,0.41932181374858374
raw_beta_recoil,raw,0.0225,0.4213180034562348,1.0,0.4213180034562348
raw_beta_recoil,raw,0.025,0.4231134187210921,1.0,0.4231134187210921
raw_beta_recoil,raw,0.0275,0.42474571762790614,1.0,0.42474571762790614
raw_beta_recoil,raw,0.03,0.4262428185205482,1.0,0.4262428185205482
raw_beta_recoil,raw,0.0325,0.42762600092699393,1.0,0.42762600092699393
raw_beta_recoil,raw,0.035,0.4289118613949185,1.0,0.4289118613949185
raw_beta_recoil,raw,0.0375,0.4301135973254948,1.0,0.4301135973254948
raw_beta_recoil,raw,0.04,0.431241878365879,1.0,0.431241878365879
raw_beta_recoil,raw,0.0425,0.4323054549355858,1.0,0.4323054549355858
raw_beta_recoil,raw,0.045,0.43331159373268824,1.0,0.43331159373268824
raw_beta_recoil,raw,0.0475,0.43426639614114587,1.0,0.43426639614114587
raw_beta_recoil,raw,0.05,0.43517503543510755,1.0,0.43517503543510755
raw_beta_recoil,raw,0.0525,0.4360419364522866,1.0,0.4360419364522866
raw_beta_recoil,raw,0.055,0.43687091372421283,1.0,0.43687091372421283
raw_beta_recoil,raw,0.0575,0.4376652790930172,1.0,0.4376652790930172
raw_beta_recoil,raw,0.06,0.4384279265700539,1.0,0.4384279265700539
raw_beta_recoil,raw,0.0625,0.43916139998369613,1.0,0.43916139998369613
raw_beta_recoil,raw,0.065,0.43986794744644003,1.0,0.43986794744644003
raw_beta_recoil,raw,0.0675,0.44054956561094916,1.0,0.44054956561094916
raw_beta_recoil,raw,0.07,0.4412080359317213,1.0,0.4412080359317213
raw_beta_recoil,raw,0.0725,0.4418449546068073,1.0,0.4418449546068073
raw_beta_recoil,raw,0.075,0.4424617574783228,1.0,0.4424617574783228
raw_beta_recoil,raw,0.0775,0.44305974087824496,1.0,0.44305974087824496
raw_beta_recoil,raw,0.08,0.44364007918770476,1.0,0.44364007918770476
raw_beta_recoil,raw,0.0825,0.44420383971324134,1.0,0.44420383971324134
raw_beta_recoil,raw,0.085,0.4447519953579447,1.0,0.4447519953579447
raw_beta_recoil,raw,0.08750000000000001,0.4452854354688759,1.0,0.4452854354688759
raw_beta_recoil,raw,0.09,0.4458049751672893,1.0,0.4458049751672893
raw_beta_recoil,raw,0.0925,0.4463113634096652,1.0,0.4463113634096652
raw_beta_recoil,raw,0.095,0.44680528998147967,1.0,0.44680528998147967
raw_beta_recoil,raw,0.0975,0.4472873915890959,1.0,0.4472873915890959
raw_beta_recoil,raw,0.1,0.4477582571859888,1.0,0.4477582571859888
raw_beta_recoil,raw,0.10250000000000001,0.4482184326460855,1.0,0.4482184326460855
raw_beta_recoil,raw,0.105,0.4486684248780705,1.0,0.4486684248780705
raw_beta_recoil,raw,0.1075,0.4491087054591197,1.0,0.4491087054591197
raw_beta_recoil,raw,0.11,0.449539713853964,1.0,0.449539713853964
raw_beta_recoil,raw,0.1125,0.44996186027486623,1.0,0.44996186027486623
raw_beta_recoil,raw,0.115,0.45037552822958504,1.0,0.45037552822958504
raw_beta_recoil,raw,0.11750000000000001,0.45078107679734986,1.0,0.45078107679734986
raw_beta_recoil,raw,0.12,0.4511788426669978,1.0,0.4511788426669978
raw_beta_recoil,raw,0.1225,0.451569141966524,1.0,0.451569141966524
raw_beta_recoil,raw,0.125,0.45195227190917625,1.0,0.45195227190917625
raw_beta_recoil,raw,0.1275,0.45232851227776183,1.0,0.45232851227776183
raw_beta_recoil,raw,0.13,0.45269812676590193,1.0,0.45269812676590193
raw_beta_recoil,raw,0.1325,0.45306136419248494,1.0,0.45306136419248494
raw_beta_recoil,raw,0.135,0.4534184596034542,1.0,0.4534184596034542
raw_beta_recoil,raw,0.1375,0.45376963527325764,1.0,0.45376963527325764
raw_beta_recoil,raw,0.14,0.45411510161674307,1.0,0.45411510161674307
raw_beta_recoil,raw,0.14250000000000002,0.4544550580209498,1.0,0.4544550580209498
raw_beta_recoil,raw,0.145,0.4547896936051063,1.0,0.4547896936051063
raw_beta_recoil,raw,0.1475,0.4551191879161512,1.0,0.4551191879161512
raw_beta_recoil,raw,0.15,0.45544371156624097,1.0,0.45544371156624097
raw_beta_recoil,raw,0.1525,0.45576342681796195,1.0,0.45576342681796195
raw_beta_recoil,raw,0.155,0.456078488122318,1.0,0.456078488122318
raw_beta_recoil,raw,0.1575,0.45638904261399893,1.0,0.45638904261399893
raw_beta_recoil,raw,0.16,0.45669523056794276,1.0,0.45669523056794276
raw_beta_recoil,raw,0.1625,0.4569971858207685,1.0,0.4569971858207685
raw_beta_recoil,raw,0.165,0.4572950361602791,1.0,0.4572950361602791
raw_beta_recoil,raw,0.1675,0.45758890368589783,1.0,0.45758890368589783
raw_beta_recoil,raw,0.17,0.4578789051426037,1.0,0.4578789051426037
raw_beta_recoil,raw,0.17250000000000001,0.45816515223067616,1.0,0.45816515223067616
raw_beta_recoil,raw,0.17500000000000002,0.45844775189332215,1.0,0.45844775189332215
raw_beta_recoil,raw,0.1775,0.4587268065840567,1.0,0.4587268065840567
raw_beta_recoil,raw,0.18,0.4590024145155265,1.0,0.4590024145155265
raw_beta_recoil,raw,0.1825,0.4592746698913016,1.0,0.4592746698913016
raw_beta_recoil,raw,0.185,0.45954366312201794,1.0,0.45954366312201794
raw_beta_recoil,raw,0.1875,0.4598094810271216,1.0,0.4598094810271216
raw_beta_recoil,raw,0.19,0.4600722070233549,1.0,0.4600722070233549
raw_beta_recoil,raw,0.1925,0.4603319213010135,1.0,0.4603319213010135
raw_beta_recoil,raw,0.195,0.46058870098892035,1.0,0.46058870098892035
raw_beta_recoil,raw,0.1975,0.46084262030896883,1.0,0.46084262030896883
raw_beta_recoil,raw,0.2,0.4610937507210203,1.0,0.4610937507210203
raw_beta_recoil,raw,0.2025,0.46134216105887027,1.0,0.46134216105887027
raw_beta_recoil,raw,0.20500000000000002,0.4615879176579349,1.0,0.4615879176579349
raw_beta_recoil,raw,0.20750000000000002,0.46183108447525834,1.0,0.46183108447525834
raw_beta_recoil,raw,0.21,0.46207172320238843,1.0,0.46207172320238843
raw_beta_recoil,raw,0.2125,0.4623098933716228,1.0,0.4623098933716228
