design,model,n_params,rmse_target,mae_visibility,rmse_visibility,cv_rmse_target,cv_rmse_visibility,r2_target,aicc,bic,parameter_labels_json,parameters_json,delta_aicc,akaike_weight
balanced_factorial,product,1,0.005250729315816437,0.0014355085674327055,0.0018116040899908523,0.005309755964876508,0.0018228517354060834,0.9991275457426396,-2265.717051733862,-2262.360464914963,"[""LGT""]",[1.3539855558409364],0.0,0.3485755044898521
balanced_factorial,full_second_order,7,0.005105440636193579,0.001416337213718147,0.001774098478154574,0.005329119760218932,0.0018507818610579672,0.9991751597079943,-2265.3192975718034,-2242.2308102564757,"[""L"", ""G"", ""T"", ""LG"", ""LT"", ""GT"", ""LGT""]","[0.005721022469984385, 0.002406545443692839, 0.0010647531082746125, -0.009458895724844688, -0.0046952858304705756, -0.0066634087898056514, 1.3633696443714636]",0.39775416205839065,0.2857101345604984
balanced_factorial,product_plus_background,2,0.005231047211783179,0.001431155818297924,0.0018019916534850364,0.0053026236942623145,0.0018225435902638409,0.9991340741887728,-2265.3017789280434,-2258.6075601408443,"[""background"", ""LGT""]","[0.0010258795527482254, 1.3482444912186577]",0.41527280581840387,0.28321843625268117
balanced_factorial,pairwise_plus_product,4,0.005210909050290812,0.001425507687175112,0.0017848623130685406,0.005366803070183816,0.0018288040132858438,0.9991407285304218,-2262.8348397981335,-2249.5232996271125,"[""LG"", ""LT"", ""GT"", ""LGT""]","[0.002443946614586564, 0.007446244425396144, -0.0007882058963959357, 1.3388695383974492]",2.8822119357282645,0.08249592469696841
balanced_factorial,pairwise,3,0.08207640518676117,0.014197943217739565,0.02006028150625413,0.0839987873291953,0.02072660815515963,0.7868231407857362,-1073.9320206826171,-1063.9193930067345,"[""LG"", ""LT"", ""GT""]","[0.16529771734830603, 0.3251981187922797, 0.15888839329867757]",1191.7850310512447,5.616497428317972e-260
balanced_factorial,additive_plus_background,4,0.10618543870283689,0.016030875960920295,0.026078657643637544,0.10636938349608896,0.026260032099041476,0.6431930237158439,-960.5999285119292,-947.2883883409082,"[""background"", ""L"", ""G"", ""T""]","[-0.15858396973221964, 0.2157320115196036, 0.15088670189254774, 0.22617093372767655]",1305.1171232219326,1.379476918478403e-284
balanced_factorial,additive,3,0.139056094580485,0.024826202086765684,0.03626336943733815,0.13989148312566824,0.036583759514166786,0.38809576113257205,-846.1700319153234,-836.1574042394408,"[""L"", ""G"", ""T""]","[0.12000199087797737, 0.03992407608266604, 0.09879063239962758]",1419.5470198185385,1.95694270157545e-309
balanced_factorial,constant,1,0.1777658349860925,0.03289970416986081,0.049189947965373446,0.1780971293261141,0.04932365102025047,0.0,-744.1697799449316,-740.8131931260325,"[""background""]",[0.08345709827257702],1521.5472717889302,0.0
confounded_latent_load,product,1,0.007788879898248987,0.0015155769703950111,0.0019511804404371408,0.007793983242339064,0.001959444745732149,0.9994141210862664,-2095.366457968983,-2092.009871150084,"[""LGT""]",[1.3478527519396242],0.0,0.5476324836933882
confounded_latent_load,pairwise_plus_product,4,0.00771211160496483,0.0015064601361523143,0.0019423217397917393,0.008021690843780654,0.0020141361135100123,0.9994256131815161,-2093.474550618247,-2080.163010447226,"[""LG"", ""LT"", ""GT"", ""LGT""]","[0.04664390492806312, 0.031638048009102054, -0.028943293907217418, 1.285503505179115]",1.8919073507358917,0.21265066234186772
confounded_latent_load,product_plus_background,2,0.007791931404759934,0.0015153532144402794,0.0019513309515527908,0.007814413043990005,0.0019678704050597345,0.999413661928196,-2093.1595968713955,-2086.4653780841963,"[""background"", ""LGT""]","[8.002423746067045e-05, 1.3475936248209461]",2.2068610975875345,0.18166673151770488
confounded_latent_load,full_second_order,7,0.0076454169751359255,0.0014985112103325015,0.0019309818971237351,0.008090884896358102,0.002027205349668968,0.9994355048613699,-2090.877862780407,-2067.7893754650795,"[""L"", ""G"", ""T"", ""LG"", ""LT"", ""GT"", ""LGT""]","[2.1090489789563476, -1.1592601502028528, -0.02864763026203778, -0.2839962805375294, -2.410417151553693, 1.4796964732190414, 1.3928545430234214]",4.4885951885758,0.05805012244703919
confounded_latent_load,pairwise,3,0.011393967706460527,0.002967651401955761,0.003704981913259302,0.01162588536204017,0.003756411611081589,0.9987462590196194,-1926.9447561173054,-1916.9321284414227,"[""LG"", ""LT"", ""GT""]","[1.1096463963724592, 0.20272094688799944, -0.37123546509736677]",168.42170185167765,1.4661598676032248e-37
confounded_latent_load,additive_plus_background,4,0.01233710748904919,0.0023321179077076897,0.0029703839513687486,0.012767711257456738,0.0030537195106411343,0.9985301109641251,-1890.512500271542,-1877.200960100521,"[""background"", ""L"", ""G"", ""T""]","[-0.08796591164329683, 1.579011505912142, -0.3136742751314552, -0.2133199014879436]",204.85395769744105,1.7989433572683607e-45
confounded_latent_load,additive,3,0.042605093638799836,0.010053764695750696,0.011467474488838425,0.043587307911819285,0.01166507950948357,0.9824700409525399,-1357.1843848441094,-1347.1717571682268,"[""L"", ""G"", ""T""]","[2.08338270582402, -0.8487766051086296, -0.16390202825776756]",738.1820731248736,2.781561727333087e-161
confounded_latent_load,constant,1,0.32178891052902814,0.059091055043311774,0.08072546591469164,0.32206674884322106,0.08088647037893604,0.0,-487.8086149050126,-484.45202808611344,"[""background""]",[0.11083214752944957],1607.5578430639705,0.0
