branch,marker,d_over_lambda,nbar,visibility_observed,visibility_predicted_from_paper_curve,log10_visibility_residual,abs_log10_visibility_residual
circle_d_over_lambda_016,circle,0.16,0.0,0.9474554452190971,1.0,-0.023441203893349534,0.023441203893349534
circle_d_over_lambda_016,circle,0.16,1.0746659321391658,0.5375590221075796,0.5249427420365682,0.01031421977039787,0.01031421977039787
circle_d_over_lambda_016,circle,0.16,1.2978206065724354,0.38013027005460465,0.46415478837591884,-0.08673038096847835,0.08673038096847835
circle_d_over_lambda_016,circle,0.16,2.11995961963034,0.30302647222066886,0.3055034865157654,-0.0035356010527148873,0.0035356010527148873
circle_d_over_lambda_016,circle,0.16,2.4488338210763714,0.264489326086679,0.26161708897104763,0.00474204110637666,0.00474204110637666
circle_d_over_lambda_016,circle,0.16,2.7776786600652397,0.19318860897993112,0.22695769548013797,-0.0699633975617594,0.0699633975617594
circle_d_over_lambda_016,circle,0.16,3.799511744283758,0.14789238002428962,0.15193073339671945,-0.011699836184952739,0.011699836184952739
circle_d_over_lambda_016,circle,0.16,6.171993389252501,0.06330727046838822,0.07543619584272165,-0.0761261902759125,0.0761261902759125
diamond_d_over_lambda_013,diamond,0.13,0.0,1.056598592854355,1.0,0.02391002797121607,0.02391002797121607
diamond_d_over_lambda_013,diamond,0.13,0.4815394037184056,0.9252217604251236,0.9086771963176605,0.007836209089128687,0.007836209089128687
diamond_d_over_lambda_013,diamond,0.13,0.6577190404348998,0.820737017401475,0.8700060645904187,-0.025318258295109565,0.025318258295109565
diamond_d_over_lambda_013,diamond,0.13,1.3624131185865749,0.656383170877171,0.702576071617048,-0.029535916905620158,0.029535916905620158
diamond_d_over_lambda_013,diamond,0.13,1.5503475256536983,0.645842818091266,0.663947041317473,-0.012006605445087887,0.012006605445087887
diamond_d_over_lambda_013,diamond,0.13,2.4429515421581955,0.5266449349959418,0.49793795010389236,0.024342684632801093,0.024342684632801093
diamond_d_over_lambda_013,diamond,0.13,3.8875893282848546,0.35590555901091475,0.3201500167609239,0.045981242554236856,0.045981242554236856
diamond_d_over_lambda_013,diamond,0.13,6.377515908159827,0.22470623766327885,0.17076273812270445,0.11922201829700274,0.11922201829700274
diamond_d_over_lambda_013,diamond,0.13,8.045308368719752,0.1460679409312011,0.12197259937245178,0.07829262799421333,0.07829262799421333
diamond_d_over_lambda_013,diamond,0.13,9.783590301440578,0.10738368097197226,0.09153517064457554,0.06935029141907056,0.06935029141907056
diamond_d_over_lambda_013,diamond,0.13,12.179566805881997,0.07618259227080859,0.06694267462792022,0.056152686175352295,0.056152686175352295
triangle_d_over_lambda_006,triangle,0.06,0.0,1.0,1.0,0.0,0.0
triangle_d_over_lambda_006,triangle,0.06,0.11744493490622901,0.9871294550721929,0.9950304151901964,-0.003462245004133207,0.003462245004133207
triangle_d_over_lambda_006,triangle,0.06,1.2332329883011577,0.8957334073429836,0.9056039195248263,-0.004759521511488521,0.004759521511488521
triangle_d_over_lambda_006,triangle,0.06,1.9614170321826503,0.8505040545185704,0.8458545191956708,0.0023807143395695868,0.0023807143395695868
triangle_d_over_lambda_006,triangle,0.06,3.2298702878499546,0.797164803995062,0.750712474290816,0.0260744832829872,0.0260744832829872
triangle_d_over_lambda_006,triangle,0.06,5.273487518858388,0.7048569702219922,0.6409298159284735,0.04129052342354783,0.04129052342354783
triangle_d_over_lambda_006,triangle,0.06,7.1996549212177285,0.580381085976414,0.5717690605825366,0.006492599556475909,0.006492599556475909
triangle_d_over_lambda_006,triangle,0.06,8.468113070627894,0.5637082808741795,0.5389902921872738,0.019473471520556868,0.019473471520556868
triangle_d_over_lambda_006,triangle,0.06,11.533582960826285,0.42118347903143616,0.48363226204808146,-0.060043936389540975,0.060043936389540975
