d_scale,visibility_offset,calculated_independent_kappa_rmse,refit_kappa_from_digitized_points_rmse,passes_no_refit_stress_gate
0.98,-0.01,0.021544957533707984,0.019934361695722512,True
0.98,0.0,0.020581867077681594,0.01932162442528426,True
0.98,0.01,0.023965509748459634,0.019743985758297822,True
0.99,-0.01,0.02088419891248652,0.01993428542306572,True
0.99,0.0,0.021857013382680594,0.019322013240592396,True
0.99,0.01,0.02665731891303289,0.019745856718360152,True
1.0,-0.01,0.02128049221489403,0.019935000251944203,True
1.0,0.0,0.02398311074013498,0.019320046621369217,True
1.0,0.01,0.029813154822411488,0.019744481192352507,False
1.01,-0.01,0.02263673152634838,0.019934969319965478,True
1.01,0.0,0.026723197324657336,0.019322432549672086,True
1.01,0.01,0.03327373264506491,0.019746176901023482,False
1.02,-0.01,0.024759159793492656,0.019934286532216343,True
1.02,0.0,0.029878989635380947,0.01931986880374771,False
1.02,0.01,0.03692961409775071,0.019744598120506152,False
