shift_samples,overlap_points,correlation
-30,70,-0.7175773901024906
-29,71,-0.7291240504752677
-28,72,-0.7159694129036779
-27,73,-0.6789127677306475
-26,74,-0.6178398234054238
-25,75,-0.5309076670987601
-24,76,-0.41749065795302315
-23,77,-0.2770218957956026
-22,78,-0.12593809894054062
-21,79,0.026811885396319804
-20,80,0.17790580731256897
-19,81,0.3235694199264574
-18,82,0.4587152590527264
-17,83,0.5807753617082346
-16,84,0.6809800689900364
-15,85,0.7541177529633109
-14,86,0.7950416064883475
-13,87,0.8018811894432316
-12,88,0.7758298196346539
-11,89,0.7176135267073296
-10,90,0.6275005377207791
-9,91,0.5164755527654459
-8,92,0.38863319526979206
-7,93,0.25734056126045374
-6,94,0.12506062977169094
-5,95,-0.00010345200501400981
-4,96,-0.11342779723542049
-3,97,-0.20834595439751702
-2,98,-0.2792352819120998
-1,99,-0.32372399043269834
0,100,-0.34148697696633723
1,99,-0.3685172012092426
2,98,-0.3679495197121976
3,97,-0.33921705925911494
4,96,-0.28261227870005745
5,95,-0.2021786288379286
6,94,-0.10040171547062375
7,93,0.01628043678654574
8,92,0.14213287907475264
9,91,0.27624438234732274
10,90,0.4100044450095872
11,89,0.5377920166832244
12,88,0.6493989622149118
13,87,0.7412258780354478
14,86,0.8099410583060326
15,85,0.8462180984453633
16,84,0.8447642613825823
17,83,0.8067152542732956
18,82,0.7292920157663088
19,81,0.622066937872215
20,80,0.4891638226826532
21,79,0.33802726131204364
22,78,0.17240213548530742
23,77,0.0013395262815875419
24,76,-0.16344417716566362
25,75,-0.3110370991971749
26,74,-0.43788783093614747
27,73,-0.5435651518823326
28,72,-0.6223240878273593
29,71,-0.6757103109507454
30,70,-0.7015256389093235
