dataset_path,rows,has_visibility_proxy,apparatus_proxy_axis_count,lambda_proxy_columns,gamma_proxy_columns,theta_proxy_columns,candidate_status,g12_ready,blocker
data/extracted/CHAPMAN_1995_SCATTER.csv,36,True,3,Lambda;path_separation,Gamma;coherence_time;detector_response_time,Theta;record_entropy_bits;record_survival_probability,proxy-rich but formal factors missing or confounded,False,Lambda/Gamma/Theta columns are empty or unpaired to visibility
data/extracted/CHAPMAN_1995_SCATTER_DIGITIZED.csv,36,True,3,Lambda;path_separation,Gamma;coherence_time;detector_response_time,Theta;record_entropy_bits;record_survival_probability;record_accessibility,proxy-rich but formal factors missing or confounded,False,Lambda/Gamma/Theta columns are empty or unpaired to visibility
data/extracted/KOKOROWSKI_2001_FIG3_DECAY_THEORY_CURVES.csv,276,True,2,d_over_lambda,,nbar,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/HORNBERGER_2003_COLLISIONAL_SCOUT.csv,28,True,2,,decoherence_pressure_1e_minus_6_mbar;decoherence_pressure_se;theory_decoherence_pressure_1e_minus_6_mbar,pressure_1e_minus_6_mbar;gas;decoherence_pressure_1e_minus_6_mbar;decoherence_pressure_se;theory_decoherence_pressure_1e_minus_6_mbar,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/KOKOROWSKI_2001_FIG3_DECAY_DIGITIZED.csv,28,True,2,d_over_lambda,,nbar,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/KOKOROWSKI_2001_MULTIPHOTON_DIGITIZED.csv,23,True,2,d_over_lambda;sigma_n_independent;sigma_n_se;kappa_prime_calculated_k0;kappa_prime_calculated_se_k0;kappa_prime_fit_reported_k0;kappa_prime_fit_reported_se_k0,,nbar_independent;nbar_se,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/MIR_2007_WEAK_VALUE_SCOUT.csv,4,True,2,momentum_distribution_available,phase_or_eraser_available,,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/CHAPMAN_1995_PHASE_GRADED.csv,40,True,1,,phase_rad;phase_display_rad;phase_unwrapped_rad;phase_se;phase_units;phase_type;phase_quality,,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/CHAPMAN_1995_PHASE_DIGITIZED.csv,32,True,1,,phase_rad;phase_display_rad;phase_se;phase_units;phase_type,,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/HACKERMUELLER_2004_THERMAL_DIGITIZED.csv,31,True,1,,,laser_power_W;mean_temperature_K;thermal_load_T4;thermal_load_delta_T4;temperature_uncertainty_K,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/EIBENBERGER_2014_RECOIL_ABSORPTION_SCOUT.csv,12,True,1,distance_from_G1_m,,,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/XIAO_2019_MOMENTUM_VISIBILITY_DIGITIZED.csv,6,True,1,momentum_abs_hbar_over_d;momentum_se;estimated_extraction_uncertainty_momentum,,,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/KOKOROWSKI_2001_MULTIPHOTON_SCOUT.csv,3,True,1,,,record_distribution_available;record_variable_independent_of_visibility_fit,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/HOCHRAINER_2017_MOMENTUM_CORRELATION_SCOUT.csv,2,True,1,,,record_distribution_available;record_variable_inferred_from_visibility,single/partial apparatus-control proxy,False,missing Lambda/Gamma/Theta columns
data/extracted/XIAO_2019_PROBABILITY_VECTOR_DIGITIZED.csv,511,False,1,mean_abs_momentum_hbar_over_d,,,apparatus proxy without visibility,False,missing Lambda/Gamma/Theta columns
data/extracted/XIAO_2019_PROBABILITY_DIGITIZED.csv,365,False,1,mean_abs_momentum_hbar_over_d,,,apparatus proxy without visibility,False,missing Lambda/Gamma/Theta columns
data/extracted/CORMANN_2016_VISIBILITY_PHASE_SCOUT.csv,211,False,1,,,theta_pi,apparatus proxy without visibility,False,missing Lambda/Gamma/Theta columns
