package_rank,candidate_id,study,required_artifact,expected_extract_dir,artifact_search_pattern,inspection_status,inspection_command,required_columns,closure_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,beam_deflection_broadening_calibration.csv,outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted,beam|deflection|broadening|calibration|kappa,pending_fetch,test -d outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted && find outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted -maxdepth 3 -type f | sort && grep -RIlE 'beam|deflection|broadening|calibration|kappa' outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted || true,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,kappa_uncertainty_notes.md,outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted,kappa|uncertainty|standard error|se|sigma,pending_fetch,test -d outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted && find outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted -maxdepth 3 -type f | sort && grep -RIlE 'kappa|uncertainty|standard error|se|sigma' outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted || true,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,paired_contrast_values.csv,outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted,contrast|visibility|decoherence|kappa,pending_fetch,test -d outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted && find outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted -maxdepth 3 -type f | sort && grep -RIlE 'contrast|visibility|decoherence|kappa' outputs/tmp/arxiv_source_packages/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/extracted || true,"branch_or_intensity,calibration_observable,value,value_se,units,independence_basis,source_note",do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,record_distribution.csv,outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted,record|momentum|distribution|weak|shift,pending_fetch,test -d outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted && find outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted -maxdepth 3 -type f | sort && grep -RIlE 'record|momentum|distribution|weak|shift' outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted || true,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,setting_pairing_notes.md,outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted,setting|pair|which-way|visibility|contrast,pending_fetch,test -d outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted && find outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted -maxdepth 3 -type f | sort && grep -RIlE 'setting|pair|which-way|visibility|contrast' outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted || true,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,visibility_or_contrast_sweep.csv,outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted,visibility|contrast|fringe|which-way|weak,pending_fetch,test -d outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted && find outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted -maxdepth 3 -type f | sort && grep -RIlE 'visibility|contrast|fringe|which-way|weak' outputs/tmp/arxiv_source_packages/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/extracted || true,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independence_provenance.md,outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted,independent|provenance|measured|fit|visibility,pending_fetch,test -d outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted && find outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted -maxdepth 3 -type f | sort && grep -RIlE 'independent|provenance|measured|fit|visibility' outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution.csv,outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted,record|distribution|momentum|correlation|width,pending_fetch,test -d outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted && find outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted -maxdepth 3 -type f | sort && grep -RIlE 'record|distribution|momentum|correlation|width' outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,paired_visibility_or_contrast.csv,outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted,visibility|contrast|fringe|coherence|setting,pending_fetch,test -d outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted && find outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted -maxdepth 3 -type f | sort && grep -RIlE 'visibility|contrast|fringe|coherence|setting' outputs/tmp/arxiv_source_packages/EIBENBERGER_2014_RECOIL_ABSORPTION/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independence_provenance.md,outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted,independent|provenance|measured|fit|visibility,pending_fetch,test -d outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted && find outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted -maxdepth 3 -type f | sort && grep -RIlE 'independent|provenance|measured|fit|visibility' outputs/tmp/arxiv_source_packages/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/extracted || true,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",do not count visibility-derived record variables as independent distribution-to-visibility validation
