package_rank,candidate_id,study,required_artifact,source_file_hint,receipt_template_status,receipt_template_path,required_receipt_columns,receipt_fill_command,review_gate,overclaim_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,beam_deflection_broadening_calibration.csv,decoh.tex,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/beam-deflection-broadening-calibration.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nKOKOROWSKI_2001_MULTIPHOTON_SCATTERING,beam_deflection_broadening_calibration.csv,decoh.tex,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/beam-deflection-broadening-calibration.csv",reviewer must verify line numbers and hashes before any closure claim,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,kappa_uncertainty_notes.md,decoh.tex,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/kappa-uncertainty-notes.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nKOKOROWSKI_2001_MULTIPHOTON_SCATTERING,kappa_uncertainty_notes.md,decoh.tex,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/kappa-uncertainty-notes.csv",reviewer must verify line numbers and hashes before any closure claim,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,paired_contrast_values.csv,decoh.tex,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/paired-contrast-values.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nKOKOROWSKI_2001_MULTIPHOTON_SCATTERING,paired_contrast_values.csv,decoh.tex,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/kokorowski-2001-multiphoton-scattering/paired-contrast-values.csv",reviewer must verify line numbers and hashes before any closure claim,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,record_distribution.csv,www-rev.tex,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nMIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,record_distribution.csv,www-rev.tex,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/record-distribution.csv",reviewer must verify line numbers and hashes before any closure claim,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,setting_pairing_notes.md,www-rev.tex,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/setting-pairing-notes.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nMIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,setting_pairing_notes.md,www-rev.tex,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/setting-pairing-notes.csv",reviewer must verify line numbers and hashes before any closure claim,do not count an independent record distribution without a paired visibility-loss curve
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,visibility_or_contrast_sweep.csv,www-rev.tex,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/visibility-or-contrast-sweep.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nMIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,visibility_or_contrast_sweep.csv,www-rev.tex,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/mir-2007-weak-value-momentum-transfer/visibility-or-contrast-sweep.csv",reviewer must verify line numbers and hashes before any closure claim,do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independence_provenance.md,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nEIBENBERGER_2014_RECOIL_ABSORPTION,independence_provenance.md,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independence-provenance.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independent-record-distribution.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nEIBENBERGER_2014_RECOIL_ABSORPTION,independent_record_distribution.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/independent-record-distribution.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,paired_visibility_or_contrast.csv,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/paired-visibility-or-contrast.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nEIBENBERGER_2014_RECOIL_ABSORPTION,paired_visibility_or_contrast.csv,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/eibenberger-2014-recoil-absorption/paired-visibility-or-contrast.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independence_provenance.md,not available,template_ready,outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independence-provenance.csv,candidate_id;required_artifact;source_file_hint;source_sha256;query_pattern;matched_line_count;matched_line_numbers;short_excerpt_hashes;acceptance_decision;closure_eligible;reviewer_note,"mkdir -p outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence && printf 'candidate_id,required_artifact,source_file_hint,source_sha256,query_pattern,matched_line_count,matched_line_numbers,short_excerpt_hashes,acceptance_decision,closure_eligible,reviewer_note\nHORNBERGER_2003_COLLISIONAL_DECOHERENCE,independence_provenance.md,not available,PENDING_SHA256,PENDING_QUERY_PATTERN,0,PENDING_LINE_NUMBERS,PENDING_EXCERPT_HASHES,pending_review,false,not_reviewed\n' > outputs/tmp/arxiv_source_line_evidence_receipts/hornberger-2003-collisional-decoherence/independence-provenance.csv",reviewer must verify line numbers and hashes before any closure claim,do not count visibility-derived record variables as independent distribution-to-visibility validation
