candidate_id,study,evidence_class,priority_rank,bundle_target_dir,required_artifact_paths,missing_artifact_count,candidate_preflight_passed,validation_command,closure_test,first_valid_action,overclaim_boundary
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,1,data/closure_evidence/public_g11/raw_calibration_tables/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,data/closure_evidence/public_g11/raw_calibration_tables/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/beam_deflection_broadening_calibration.csv;data/closure_evidence/public_g11/raw_calibration_tables/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/kappa_uncertainty_notes.md;data/closure_evidence/public_g11/raw_calibration_tables/KOKOROWSKI_2001_MULTIPHOTON_SCATTERING/paired_contrast_values.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,rerun kappa-uncertainty profile and joint stress gate without refitting visibility,recover raw beam-deflection/broadening calibration tables with independent kappa uncertainty provenance,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,2,data/closure_evidence/public_g11/paired_visibility_curve/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,data/closure_evidence/public_g11/paired_visibility_curve/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/record_distribution.csv;data/closure_evidence/public_g11/paired_visibility_curve/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/setting_pairing_notes.md;data/closure_evidence/public_g11/paired_visibility_curve/MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER/visibility_or_contrast_sweep.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,3,data/closure_evidence/public_g11/paired_visibility_curve/KOCSIS_2011_AVERAGE_TRAJECTORIES,data/closure_evidence/public_g11/paired_visibility_curve/KOCSIS_2011_AVERAGE_TRAJECTORIES/record_distribution.csv;data/closure_evidence/public_g11/paired_visibility_curve/KOCSIS_2011_AVERAGE_TRAJECTORIES/setting_pairing_notes.md;data/closure_evidence/public_g11/paired_visibility_curve/KOCSIS_2011_AVERAGE_TRAJECTORIES/visibility_or_contrast_sweep.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,4,data/closure_evidence/public_g11/paired_visibility_curve/ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,data/closure_evidence/public_g11/paired_visibility_curve/ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE/record_distribution.csv;data/closure_evidence/public_g11/paired_visibility_curve/ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE/setting_pairing_notes.md;data/closure_evidence/public_g11/paired_visibility_curve/ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE/visibility_or_contrast_sweep.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,5,data/closure_evidence/public_g11/paired_visibility_curve/KANEDA_2014_ERROR_DISTURBANCE,data/closure_evidence/public_g11/paired_visibility_curve/KANEDA_2014_ERROR_DISTURBANCE/record_distribution.csv;data/closure_evidence/public_g11/paired_visibility_curve/KANEDA_2014_ERROR_DISTURBANCE/setting_pairing_notes.md;data/closure_evidence/public_g11/paired_visibility_curve/KANEDA_2014_ERROR_DISTURBANCE/visibility_or_contrast_sweep.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,fit record distribution once and predict paired visibility or contrast without refit,recover a paired visibility or contrast sweep measured under the same record-distribution settings,do not count an independent record distribution without a paired visibility-loss curve
EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,6,data/closure_evidence/public_g11/independent_record_distribution/EIBENBERGER_2014_RECOIL_ABSORPTION,data/closure_evidence/public_g11/independent_record_distribution/EIBENBERGER_2014_RECOIL_ABSORPTION/independence_provenance.md;data/closure_evidence/public_g11/independent_record_distribution/EIBENBERGER_2014_RECOIL_ABSORPTION/independent_record_distribution.csv;data/closure_evidence/public_g11/independent_record_distribution/EIBENBERGER_2014_RECOIL_ABSORPTION/paired_visibility_or_contrast.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,7,data/closure_evidence/public_g11/independent_record_distribution/HORNBERGER_2003_COLLISIONAL_DECOHERENCE,data/closure_evidence/public_g11/independent_record_distribution/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/independence_provenance.md;data/closure_evidence/public_g11/independent_record_distribution/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/independent_record_distribution.csv;data/closure_evidence/public_g11/independent_record_distribution/HORNBERGER_2003_COLLISIONAL_DECOHERENCE/paired_visibility_or_contrast.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,8,data/closure_evidence/public_g11/independent_record_distribution/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,data/closure_evidence/public_g11/independent_record_distribution/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/independence_provenance.md;data/closure_evidence/public_g11/independent_record_distribution/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/independent_record_distribution.csv;data/closure_evidence/public_g11/independent_record_distribution/HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION/paired_visibility_or_contrast.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,9,data/closure_evidence/public_g11/independent_record_distribution/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,data/closure_evidence/public_g11/independent_record_distribution/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/independence_provenance.md;data/closure_evidence/public_g11/independent_record_distribution/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/independent_record_distribution.csv;data/closure_evidence/public_g11/independent_record_distribution/LAHIRI_2017_TWIN_PHOTON_CORRELATIONS/paired_visibility_or_contrast.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,10,data/closure_evidence/public_g11/independent_record_distribution/DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,data/closure_evidence/public_g11/independent_record_distribution/DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD/independence_provenance.md;data/closure_evidence/public_g11/independent_record_distribution/DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD/independent_record_distribution.csv;data/closure_evidence/public_g11/independent_record_distribution/DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD/paired_visibility_or_contrast.csv,3,False,uv run --with-requirements requirements.txt python src/constraint_dynamics_quantum_v3.py audit-public-g11-exhaustion --output-dir outputs/public_g11_exhaustion,show the record variable was measured independently before testing no-refit visibility prediction,recover an independently measured record distribution with provenance separate from the visibility fit,do not count visibility-derived record variables as independent distribution-to-visibility validation
