route_rank,candidate_id,study,required_artifact,receipt_template_path,receipt_verification_status,verification_command,required_verified_fields,acceptance_gate,closure_credit_allowed,overclaim_boundary
1,YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independence_provenance.md,outputs/tmp/non_arxiv_artifact_review_receipts/yoon-2021-quantitative-complementarity/independence-provenance.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/yoon-2021-quantitative-complementarity/independence-provenance.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
1,YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution.csv,outputs/tmp/non_arxiv_artifact_review_receipts/yoon-2021-quantitative-complementarity/independent-record-distribution.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/yoon-2021-quantitative-complementarity/independent-record-distribution.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
1,YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,paired_visibility_or_contrast.csv,outputs/tmp/non_arxiv_artifact_review_receipts/yoon-2021-quantitative-complementarity/paired-visibility-or-contrast.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/yoon-2021-quantitative-complementarity/paired-visibility-or-contrast.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count visibility-derived record variables as independent distribution-to-visibility validation
2,KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,record_distribution.csv,outputs/tmp/non_arxiv_artifact_review_receipts/kocsis-2011-average-trajectories/record-distribution.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/kocsis-2011-average-trajectories/record-distribution.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
2,KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,setting_pairing_notes.md,outputs/tmp/non_arxiv_artifact_review_receipts/kocsis-2011-average-trajectories/setting-pairing-notes.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/kocsis-2011-average-trajectories/setting-pairing-notes.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
2,KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,visibility_or_contrast_sweep.csv,outputs/tmp/non_arxiv_artifact_review_receipts/kocsis-2011-average-trajectories/visibility-or-contrast-sweep.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/kocsis-2011-average-trajectories/visibility-or-contrast-sweep.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
3,ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,record_distribution.csv,outputs/tmp/non_arxiv_artifact_review_receipts/rozema-2012-weak-measurement-disturbance/record-distribution.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/rozema-2012-weak-measurement-disturbance/record-distribution.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
3,ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,setting_pairing_notes.md,outputs/tmp/non_arxiv_artifact_review_receipts/rozema-2012-weak-measurement-disturbance/setting-pairing-notes.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/rozema-2012-weak-measurement-disturbance/setting-pairing-notes.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
3,ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,visibility_or_contrast_sweep.csv,outputs/tmp/non_arxiv_artifact_review_receipts/rozema-2012-weak-measurement-disturbance/visibility-or-contrast-sweep.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/rozema-2012-weak-measurement-disturbance/visibility-or-contrast-sweep.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
4,KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,record_distribution.csv,outputs/tmp/non_arxiv_artifact_review_receipts/kaneda-2014-error-disturbance/record-distribution.receipt.csv,receipt_pending,"python -c ""import pandas as pd; p='outputs/tmp/non_arxiv_artifact_review_receipts/kaneda-2014-error-disturbance/record-distribution.receipt.csv'; df=pd.read_csv(p); row=df.iloc[0]; assert row['source_page_sha256'] != 'PENDING_SOURCE_PAGE_SHA256'; assert str(row['acceptance_decision']) == 'accepted'; assert str(row['closure_eligible']).lower() == 'true'""",source_url;source_page_sha256;reviewed_artifact_status;matched_evidence_locator;acceptance_decision;closure_eligible;reviewer_note,source_page_sha256 != PENDING_SOURCE_PAGE_SHA256; reviewed_artifact_status identifies required artifact or reviewed absence; acceptance_decision=accepted; closure_eligible=true,False,do not count an independent record distribution without a paired visibility-loss curve
