access_rank,candidate_id,study,evidence_class,source_access_class,primary_source_url,source_eprint_url,doi,artifact_focuses,access_check_status,first_check_action,overclaim_boundary
1,KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Kokorowski et al. 2001,raw_calibration_tables,arxiv_eprint_route,https://arxiv.org/abs/quant-ph/0009044,https://arxiv.org/e-print/quant-ph/0009044,https://doi.org/10.1103/PhysRevLett.86.2191,beam_deflection_broadening_calibration.csv;kappa_uncertainty_notes.md;paired_contrast_values.csv,not_checked,check arXiv source package for required artifact bundle before broader search,do not count digitized contrast agreement as G11 closure without calibration uncertainty provenance
2,MIR_2007_WEAK_VALUE_MOMENTUM_TRANSFER,Mir et al. 2007,paired_visibility_curve,arxiv_eprint_route,https://arxiv.org/abs/0706.3966,https://arxiv.org/e-print/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,not_checked,check arXiv source package for required artifact bundle before broader search,do not count an independent record distribution without a paired visibility-loss curve
3,EIBENBERGER_2014_RECOIL_ABSORPTION,Eibenberger et al. 2014,independent_record_distribution,arxiv_eprint_route,https://arxiv.org/abs/1402.5307,https://arxiv.org/e-print/1402.5307,https://doi.org/10.1103/PhysRevLett.112.250402,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,check arXiv source package for required artifact bundle before broader search,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution,arxiv_eprint_route,https://arxiv.org/abs/quant-ph/0307238,https://arxiv.org/e-print/quant-ph/0307238,https://doi.org/10.1007/s00340-003-1312-6,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,check arXiv source package for required artifact bundle before broader search,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution,arxiv_eprint_route,https://arxiv.org/abs/1610.05529,https://arxiv.org/e-print/1610.05529,https://doi.org/10.1073/pnas.1615874114,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,check arXiv source package for required artifact bundle before broader search,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution,arxiv_eprint_route,https://arxiv.org/abs/1610.04298,https://arxiv.org/e-print/1610.04298,https://doi.org/10.1103/PhysRevA.96.013822,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,check arXiv source package for required artifact bundle before broader search,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,arxiv_eprint_route,https://arxiv.org/abs/1508.01353,https://arxiv.org/e-print/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,check arXiv source package for required artifact bundle before broader search,do not count visibility-derived record variables as independent distribution-to-visibility validation
8,YOON_2021_QUANTITATIVE_COMPLEMENTARITY,Yoon and Cho 2021,independent_record_distribution,pmc_open_article_route,https://pmc.ncbi.nlm.nih.gov/articles/PMC8373128/,not available,https://doi.org/10.1126/sciadv.abi9268,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,"check open article tables, supplements, and data availability statements",do not count visibility-derived record variables as independent distribution-to-visibility validation
9,KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,institutional_landing_route,https://www.nist.gov/publications/observing-average-trajectories-single-photons-two-slit-interferometer,not available,https://doi.org/10.1126/science.1202218,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,not_checked,check institutional landing page and linked supplementary/source records,do not count an independent record distribution without a paired visibility-loss curve
10,ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,doi_landing_route,https://doi.org/10.1103/PhysRevLett.109.100404,not available,https://doi.org/10.1103/PhysRevLett.109.100404,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,not_checked,resolve DOI landing page and check data availability before searching mirrors,do not count an independent record distribution without a paired visibility-loss curve
11,KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,doi_landing_route,https://doi.org/10.1103/PhysRevLett.112.020402,not available,https://doi.org/10.1103/PhysRevLett.112.020402,record_distribution.csv;setting_pairing_notes.md;visibility_or_contrast_sweep.csv,not_checked,resolve DOI landing page and check data availability before searching mirrors,do not count an independent record distribution without a paired visibility-loss curve
12,DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution,doi_landing_route,https://doi.org/10.1038/31822,not available,https://doi.org/10.1038/31822,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,resolve DOI landing page and check data availability before searching mirrors,do not count visibility-derived record variables as independent distribution-to-visibility validation
13,DING_2025_WAVE_PARTICLE_ENTANGLEMENT_TRIAD,Ding et al. 2025,independent_record_distribution,publisher_article_route,https://www.nature.com/articles/s41377-025-01759-4,not available,https://doi.org/10.1038/s41377-025-01759-4,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,"check publisher article page, supplements, and data availability statements",do not count visibility-derived record variables as independent distribution-to-visibility validation
14,CHEN_2022_ASYMMETRIC_BEAM_DUALITY,Chen et al. 2022,independent_record_distribution,publisher_article_route,https://www.nature.com/articles/s41534-022-00610-7,not available,https://doi.org/10.1038/s41534-022-00610-7,independence_provenance.md;independent_record_distribution.csv;paired_visibility_or_contrast.csv,not_checked,"check publisher article page, supplements, and data availability statements",do not count visibility-derived record variables as independent distribution-to-visibility validation
