study_id,source_url,source_file,source_sha256,figure,panel,setup,observable,extraction_method,point_id,pixel_x,pixel_y,axis_left_px,axis_right_px,axis_top_px,axis_bottom_px,postselected_angle_deg,visibility,phase_sign,notes
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_1,193.828,834.082,170.0,2463.0,52.0,900.0,-88.129522,0.077733,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_2,267.282,689.923,170.0,2463.0,52.0,900.0,-82.363368,0.247733,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_3,368.024,505.602,170.0,2463.0,52.0,900.0,-74.455158,0.465092,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_4,443.143,384.996,170.0,2463.0,52.0,900.0,-68.558316,0.607316,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_5,1016.922,336.585,170.0,2463.0,52.0,900.0,-23.516774,0.664404,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_6,1091.543,445.584,170.0,2463.0,52.0,900.0,-17.659070,0.535868,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_7,1191.390,618.290,170.0,2463.0,52.0,900.0,-9.821119,0.332206,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_8,1266.032,760.663,170.0,2463.0,52.0,900.0,-3.961765,0.164312,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_9,1365.331,772.679,170.0,2463.0,52.0,900.0,3.833206,0.150142,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_10,1440.426,628.192,170.0,2463.0,52.0,900.0,9.728131,0.320528,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_11,1539.982,449.578,170.0,2463.0,52.0,900.0,17.543253,0.531158,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_12,1615.312,338.066,170.0,2463.0,52.0,900.0,23.456680,0.662658,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
CORMANN_2016_ERASER,https://arxiv.org/abs/1508.01353,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig. 2,a_visibility,setup_1_red,visibility,fast_manual_component_digitization_v0,setup_1_red_vis_13,2164.206,370.355,170.0,2463.0,52.0,900.0,66.544756,0.624581,,"Coarse component extraction from rendered EPS; includes plotted marker/curve components, not publication-grade points."
