condition_id,path_separation,detector_spatial_resolution,coherence_time,detector_response_time,record_entropy_bits,record_survival_probability,environment_coupling,Lambda,Gamma,Theta,marker_angle,marker_visibility,t_meas,kappa_eff_true,visibility_true,visibility_obs,visibility_se
0,1.0,0.35,1.0,0.25,0.0,0.72,0.82,0.9831201158512101,0.9999998874648253,0.0,1.2,0.3623577544766736,0.5301145224422263,0.0,0.3623577544766736,0.3623602147833886,0.002
1,1.0,0.35,1.0,0.25,0.64,0.72,0.82,0.9831201158512101,0.9999998874648253,0.23041957947316738,1.2,0.3623577544766736,0.5301145224422263,0.3058156325341445,0.26201385390131493,0.2626113449763319,0.002
2,1.0,0.35,1.0,0.25,1.28,0.72,0.82,0.9831201158512101,0.9999998874648253,0.4077459763417435,1.2,0.3623577544766736,0.5301145224422263,0.5411653556234508,0.20415362368622583,0.2036053479755014,0.002
3,1.0,0.35,1.0,0.25,1.92,0.72,0.82,0.9831201158512101,0.9999998874648253,0.5442128994143702,1.2,0.3623577544766736,0.5301145224422263,0.7222858944893926,0.1684844586139428,0.16670327493642825,0.002
4,1.0,0.35,1.0,0.25,2.56,0.72,0.82,0.9831201158512101,0.9999998874648253,0.6492351714606054,1.2,0.3623577544766736,0.5301145224422263,0.8616727149558909,0.14533792616884528,0.14442858459850183,0.002
5,1.0,0.35,1.0,0.25,3.2,0.72,0.82,0.9831201158512101,0.9999998874648253,0.7300582557466303,1.2,0.3623577544766736,0.5301145224422263,0.9689420828663966,0.12971392604686618,0.12773063293687326,0.002
6,1.0,0.35,1.0,0.6599999999999999,0.0,0.72,0.82,0.9831201158512101,0.8993075154245982,0.0,1.2,0.3623577544766736,0.5301145224422263,0.0,0.3623577544766736,0.3624780416818685,0.002
7,1.0,0.35,1.0,0.6599999999999999,0.64,0.72,0.82,0.9831201158512101,0.8993075154245982,0.23041957947316738,1.2,0.3623577544766736,0.5301145224422263,0.2750223276219691,0.27070924171625643,0.2733896722073655,0.002
8,1.0,0.35,1.0,0.6599999999999999,1.28,0.72,0.82,0.9831201158512101,0.8993075154245982,0.4077459763417435,1.2,0.3623577544766736,0.5301145224422263,0.48667412616755246,0.21629559161858847,0.2153111785814858,0.002
9,1.0,0.35,1.0,0.6599999999999999,1.92,0.72,0.82,0.9831201158512101,0.8993075154245982,0.5442128994143702,1.2,0.3623577544766736,0.5301145224422263,0.6495572062975229,0.1819901526712068,0.18074920287156693,0.002
